,Distance,Last Finish pos,Last-1 Finish pos,Weight,Wins,Places,win%,Place%,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Good Wins,Good Places,Good Starts, age,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,Last Base Rating,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Finish Pos,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight,Cluster,Horse Rating
295,3500,7.0,6.0,65.0,2,1,17.0,8.0,0,0,1,0,0,1,0,2,8,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3.5,7.0,1.5,1.5,6.0,4.5,4.5,3.0,31.0,31.0,1.0,20.0,20.0,4.0,0,0,0,0,0,7,0,4,37,1,4,32,0,0,4200.0,35.0,66.0,5600.0,35.0,65.0,4250.0,23.5,65.5,4280.0,5.5,66.5,69,70
296,3000,8.0,8.0,68.0,8,12,16.0,24.0,1,4,9,0,1,1,0,12,10,0.0,0.0,6.0,0.0,2.0,6.0,0.0,3.0,6.0,1.0,1.0,6.0,25.5,8.0,1.0,1.0,8.0,6.5,6.5,3.0,22.5,22.5,7.0,19.5,19.5,8.0,17,31,103,0,1,8,8,7,39,0,1,8,0,0,2100.0,8.3,60.5,2500.0,99.0,68.0,2900.0,15.5,65.0,2200.0,8.8,58.0,53,54
297,3000,3.0,6.0,68.0,4,8,13.0,26.0,0,0,0,0,1,0,0,3,6,1.0,0.0,4.0,2.0,0.0,4.0,1.0,1.0,4.0,0.0,2.0,4.0,30.5,3.0,0.5,0.5,6.0,0.5,0.5,7.0,8.0,8.0,3.0,0.5,0.5,7.0,12,13,90,17,56,267,129,285,1358,49,104,577,0,0,1400.0,1.4,54.0,3800.0,35.0,68.0,3100.0,34.8,68.0,2750.0,8.8,68.0,49,50
298,3000,8.0,9.0,68.0,4,8,10.0,20.0,0,0,0,0,0,2,7,26,7,0.0,2.0,6.0,1.0,2.0,6.0,0.0,1.0,6.0,1.0,0.0,6.0,0.0,8.0,6.5,6.5,9.0,26.5,26.5,4.0,14.5,14.5,5.0,26.0,26.0,2.0,1,2,11,7,17,94,24,57,237,24,45,260,0,0,2760.0,32.0,68.0,2200.0,16.4,54.5,2500.0,1.7,68.0,2200.0,8.3,50.5,49,50
299,3000,4.0,2.0,68.0,5,4,23.0,18.0,1,0,1,0,0,1,1,5,7,0.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,0.0,3.0,27.0,4.0,34.0,34.0,2.0,0.5,0.5,7.0,34.0,34.0,1.0,32.0,32.0,1.0,19,30,110,3,5,25,3,5,18,7,12,56,6,27,1800.0,8.8,53.0,2000.0,0.2,57.0,2200.0,37.7,54.0,2200.0,1.3,70.0,49,50
300,3000,2.0,7.0,68.0,0,2,0.0,20.0,0,0,0,0,0,0,1,7,5,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,22.5,2.0,10.5,10.5,7.0,16.5,16.5,4.0,11.5,12.0,5.0,11.0,11.5,7.0,0,0,0,3,5,35,7,16,96,22,40,220,0,0,1600.0,0.2,58.5,2100.0,8.0,54.0,1600.0,5.2,58.5,1600.0,7.8,58.5,93,94
301,3000,3.0,9.0,68.0,1,15,2.0,35.0,0,2,4,0,0,0,13,32,8,0.0,4.0,9.0,1.0,1.0,8.0,0.0,4.0,7.0,0.0,1.0,5.0,17.5,3.0,-2.0,-2.0,9.0,4.5,4.5,8.0,16.0,16.0,2.0,6.5,6.5,10.0,5,18,63,3,5,35,7,16,96,22,40,220,3,17,2200.0,2.1,63.0,2800.0,35.0,68.0,2400.0,16.5,54.5,1950.0,2.8,64.5,47,48
302,3000,7.0,5.0,68.0,1,1,7.0,7.0,0,0,0,0,0,0,1,6,5,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,-3.5,7.0,-0.5,-0.5,5.0,14.5,14.5,8.0,6.0,6.5,10.0,17.0,17.5,6.0,1,3,30,20,32,141,86,168,723,53,115,497,0,0,2760.0,27.8,65.0,2060.0,18.9,57.0,1600.0,5.3,54.5,1650.0,10.5,54.0,93,94
303,3000,7.0,0.0,68.0,0,1,0.0,6.0,0,0,0,0,0,0,1,11,6,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,-2.0,7.0,-2.0,-2.0,12.0,9.0,9.0,9.0,13.0,13.0,9.0,5.0,5.0,8.0,1,6,47,1,1,23,3,2,22,8,12,110,0,0,1600.0,20.0,58.5,1600.0,31.2,56.5,1400.0,7.3,56.5,2200.0,6.1,58.5,93,94
304,3000,7.0,0.0,68.0,4,5,11.0,14.0,0,0,2,0,0,0,2,15,8,0.0,0.0,6.0,1.0,0.0,4.0,1.0,2.0,4.0,1.0,0.0,4.0,-2.5,7.0,-1.5,-1.5,10.0,14.0,14.0,6.0,24.5,24.5,3.0,18.5,18.5,4.0,0,2,32,20,32,141,86,168,723,53,115,497,0,6,2060.0,20.9,54.5,2100.0,24.7,57.5,2040.0,7.3,56.0,2100.0,1.5,58.0,49,50
