Meeting,Race Number,Race Name,Distance,Prize Money,Class,Apprentice Claim,Time,Date,Tab Number,Form,Last Finish pos,Last-1 Finish pos,Last-2 Finish pos,Last-3 Finish pos,Horse,BP,Weight,odds,Wrat,Trat,Starts,Wins,Places,win%,Place%,Class Change,Field Strength,Distance Change,Average Prizemoney,Days Since Last Start,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Distance Starts,Course/Dist Wins,Course/Dist Places,Course/Dist Starts,Firm Wins,Firm Places,Firm Starts,Good Wins,Good Places,Good Starts,Soft Wins,Soft Places,Soft Starts,Heavy Wins,Heavy Places,Heavy Starts,Wizard Panel,Timeform Panel,Best Form Panel,Recent Form Panel,Distance Panel,Class Panel,Concensus Panel,Concensus Points,Trainer, age,sex,Jockey,Allowance,Espd,Pace,Impact Form,Impact Fit,Impact Dist,ATPG Age,ATPG Trainer,RFS,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,5Up Wins,5Up Places,5Up Starts,6Up Wins,6Up Places,6Up Starts,7+Up Wins,7+Up Places,7+Up Starts,Cur RFS Wins,Cur RFS Places,Cur RFS Starts,Cur RFS Date1,Cur RFS Base1,Cur RFS WFA1,Cur RFS Date2,Cur RFS Base2,Cur RFS WFA2,Cur RFS Date3,Cur RFS Base3,Cur RFS WFA3,Cur Peak,Cur Peak Date,Last Peak,Last Peak Date,Prev Peak,Prev Peak Date,Dist Peak,Dist Peak Date,Wet Peak,Wet Peak Date,Win Distances,Sim Company Wins,Sim Company Places,Sim Company Starts,Strong Company Wins,Strong Company Places,Strong Company Starts,Last Base Rating,Last WFA Rating,Last Date,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Date,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Date,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Date,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Date,Last-4 Finish Pos,Last-5 Base Rating,Last-5 WFA Rating,Last-5 Date,Last-5 Finish Pos,Last-6 Base Rating,Last-6 WFA Rating,Last-6 Date,Last-6 Finish Pos,Last-7 Base Rating,Last-7 WFA Rating,Last-7 Date,Last-7 Finish Pos,Last Win Base Rating,Last Win WFA Rating,Last Win Date,Last Win-1 Base Rating,Last Win-1 WFA Rating,Last Win-1 Date,Last Win-2 Base Rating,Last Win-2 WFA Rating,Last Win-2 Date,Last Win-3 Base Rating,Last Win-3 WFA Rating,Last Win-3 Date,Last Win-4 Base Rating,Last Win-4 WFA Rating,Last Win-4 Date,Last Win-5 Base Rating,Last Win-5 WFA Rating,Last Win-5 Date,Joc Loc12m Wins,Joc Loc12m Places,Joc Loc12m Starts,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Joc/Horse Wins,Joc/Horse Places,Joc/Horse Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Places,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight,Last Crse,Last Class,Last-1 Crse,Last-1 Class,Last-2 Crse,Last-2 Class,Last-3 Crse,Last-3 Class,Sire,Dam,G Sire,Trainer Location,Course Peak,Course Peak Date,Last SP,Last-1 SP,Last-2 SP,Last-3 SP,Scratched,Last Win Date.1,Last Win Days,Last-1 Win Date,Last-1 WinDays,Last-2 Win Date,Last-2 Win Days,Last-3 Win Date,Last-3 WinDays,Last-4 Win Date,Last-4 Win Days,Last-5 Win Date,Last-5 WinDays,1Fav Wins,1Fav Places,1Fav Starts,2Fav Wins,2Fav Places,2Fav Starts,3-5Fav Wins,3-5Fav Places,3-5Fav Starts,6+Fav Wins,6+Fav Places,6+Fav Starts,Last-4 Weight,Last-5 Weight,Last-6 Weight,Last-7 Weight,Unnamed: 253
A PARK,7,ISCL ROTORUA STAKES (SKY2),1400,"70,000",FM-GP3,No Claim,01.34 pm,11/05/2019,18,'3688,8.0,8.0,6.0,3.0,O'ANGEL,,57.0,,,,18,3,5,17.0,28.0,,,,3529,14,0,1,1,3,2,9,0,1,1,0,0,0,2,3,14,1,0,1,0,2,3,19,15,20,19,20,19,,,S J MCKEE,5,M,,,M4,B8,0.81,0.99,0.91,B,B,6.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,10/02/2018,38.0,40.0,,,,,,,40.5,01/12/18,42.5,07/04/18,38.5,02/11/16,42.5,07/04/18,40.0,10/02/18,1300 1400 (2),0.0,1.0,1.0,0.0,0.0,0.0,36.0,36.0,27/04/2019,8.0,36.5,36.5,09/03/2019,8.0,31.0,31.0,13/01/2019,6.0,38.0,38.0,26/12/2018,3.0,40.5,40.5,01/12/2018,3.0,34.0,35.0,12/05/2018,3.0,41.5,42.5,07/04/2018,1.0,38.5,40.0,10/03/2018,6.0,38.0,40.0,10/02/2018,35.0,37.5,06/12/2017,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,15,75,37,57,318,25,58,312,0,0,0,1400.0,4.3,54.0,1200.0,5.3,54.5,1400.0,9.5,55.0,1400.0,3.5,55.0,TE R,BM-82,ELLS,BM-82,ELLS,BM-82,ELLS,BM-82,CAPE BLANCO (IRE),ZABEELS ANGEL (NZ),ZABEEL (NZ),ARDMORE,35.0,12/05/18,13NZ,8NZ,4NZ,7NZ,Scratched,07/04/18,28,10/02/18,35,06/12/17,19,,,,,,,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,0.0,4.0,11.0,54.5,57.0,55.5,54.5,
A PARK,7,ISCL ROTORUA STAKES (SKY2),1400,"70,000",FM-GP3,No Claim,01.34 pm,11/05/2019,19,'1x79,9.0,7.0,1.0,,RITANI,,57.0,,,,10,3,1,30.0,10.0,,,,6836,14,0,0,0,2,1,7,0,0,0,0,0,0,1,1,6,0,0,1,2,0,3,16,18,17,17,13,17,,,S B MARSH,4,M,,,G5,M6,0.87,0.91,0.91,B,A,3.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,01/12/2018,39.5,41.0,07/07/2018,34.5,38.0,,,,39.0,07/04/19,44.0,26/12/18,40.0,23/05/18,44.0,26/12/18,44.0,26/12/18,1200 1400 1500,0.0,0.0,0.0,0.0,0.0,0.0,36.5,36.5,27/04/2019,9.0,39.0,39.0,07/04/2019,7.0,42.5,44.0,26/12/2018,1.0,40.0,41.5,13/12/2018,8.0,39.5,41.0,01/12/2018,5.0,42.0,44.0,10/11/2018,2.0,39.0,41.0,17/10/2018,1.0,34.5,38.0,07/07/2018,5.0,35.5,40.0,23/05/2018,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,31,53,256,125,159,756,97,161,721,0,0,0,1400.0,4.7,54.0,1200.0,2.9,57.0,1500.0,3.0,51.5,1500.0,2.2,57.5,TE R,BM-82,PUK ,BM-72,ELLS,SCON,ELLS,BM-72,MAKFI (GB),ELEGANT EMERALD,UNBRIDLED'S SONG (USA),CAMBRIDGE,,,3NZ,1NZ,4NZ,3NZ,Scratched,26/12/18,13,17/10/18,102,23/05/18,frs,,,,,,,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,2.0,56.5,55.5,57.0,57.0,
A PARK,7,ISCL ROTORUA STAKES (SKY2),1400,"70,000",FM-GP3,No Claim,01.34 pm,11/05/2019,20,'5x23,3.0,2.0,5.0,,PITCH AND SWITCH,,57.0,,,,13,2,4,15.0,31.0,,,,2674,14,0,0,1,0,0,1,0,0,0,0,0,0,2,4,12,0,0,0,0,0,1,15,17,18,14,19,16,,,B HAWTIN,4,M,,,G4,M6,1.18,1.05,1.03,B,D,3.0,0.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,05/12/2018,33.0,34.5,23/03/2018,36.5,41.5,,,,42.5,07/04/19,42.0,22/12/18,43.0,14/04/18,34.5,05/12/18,,,1200 (2),0.0,0.0,0.0,0.0,0.0,1.0,38.5,38.5,27/04/2019,3.0,42.5,42.5,07/04/2019,2.0,38.5,39.5,12/01/2019,5.0,40.5,42.0,22/12/2018,1.0,33.0,34.5,05/12/2018,4.0,30.5,32.5,13/11/2018,4.0,37.5,39.5,20/10/2018,6.0,38.0,43.0,14/04/2018,2.0,34.0,39.5,28/02/2018,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8,7,46,13,33,157,12,24,116,0,0,0,1200.0,2.9,57.5,1200.0,0.1,57.0,1200.0,2.5,57.0,1200.0,1.3,58.0,TE R,BM-72,PUK ,BM-72,TRE ,BM-72,TE R,BM-65,MANHATTAN RAIN,THIS IS YOUR LIFE,FASTNET ROCK,TE AWAMUTU,39.5,20/10/18,2NZ,7NZ,2NZ,1NZ,Scratched,22/12/18,17,28/02/18,58,,,,,,,,,1.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,4.0,58.0,58.0,60.0,57.0,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,1,'6x49,9.0,4.0,6.0,,O'GUY,9.0,60.0,4.0,99.0,99.0,27,3,5,11.0,19.0,dn,- 7.5,eq,2611,8,0,0,0,3,1,13,0,0,0,0,0,0,3,3,22,0,1,3,0,1,2,2,3,1,1,2,7,1.0,14.0,S J MCKEE,5,G,C. E. Lammas,,M7,O4,0.96,1.15,1.02,A,B,3.0,1.0,0.0,4.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,9.0,1.0,0.0,3.0,14/04/2018,23.0,24.0,01/11/2016,30.0,39.5,05/12/2015,30.5,48.5,35.0,14/04/19,37.0,24/02/18,43.5,26/12/16,43.5,26/12/16,40.0,13/05/17,1300 1400 (2),0.0,0.0,0.0,2.0,4.0,23.0,32.0,32.0,03/05/2019,9.0,35.0,35.0,14/04/2019,4.0,33.5,33.5,03/10/2018,6.0,27.0,27.0,15/09/2018,10.0,36.0,36.0,01/09/2018,1.0,34.5,34.5,12/08/2018,2.0,34.5,35.0,30/06/2018,4.0,26.0,26.5,09/06/2018,7.0,35.5,37.0,24/02/2018,30.0,39.5,01/11/2016,,,,,,,,,,,,,18,40,186,73,130,588,0,0,1,6,15,75,37,57,318,25,58,312,1,2,7,1400.0,4.2,57.0,1200.0,2.4,57.0,1400.0,3.7,57.5,1600.0,9.0,58.0,PUK ,BM-72,TE R,BM-72,RKA ,BM-72,RKA ,BM-72,PINS,WOODMINCO,WOODMAN (USA),ARDMORE,,,3NZ,9NZ,3NZ,4NZ,,01/09/18,20,24/02/18,273,01/11/16,6,,,,,,,1.0,0.0,2.0,0.0,2.0,7.0,1.0,1.0,11.0,1.0,2.0,7.0,59.0,58.5,58.5,59.0,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,2,'x60x,0.0,6.0,,,TIPICAL,8.0,60.0,13.0,78.0,81.0,15,2,2,13.0,13.0,dn,- 7.5,dn,1197,210,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,1,3,2,1,4,10,10,2,0,3,14,,,A W PIKE,5,G,V. A. Colgan,,G2,M6,0.67,na,0.85,A,B,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,4.0,23/09/2018,35.5,35.5,18/02/2018,23.5,25.0,27/04/2017,30.0,35.5,,,35.5,23/09/18,36.5,20/06/18,35.5,23/09/18,36.5,20/06/18,1600 (2),0.0,0.0,0.0,1.0,1.0,5.0,28.5,28.5,13/10/2018,13.0,35.5,35.5,23/09/2018,6.0,33.0,33.5,07/07/2018,12.0,36.0,36.5,20/06/2018,2.0,34.0,34.5,07/06/2018,1.0,31.0,32.0,23/05/2018,1.0,27.0,28.0,09/05/2018,2.0,9.0,10.0,25/04/2018,11.0,,,,,,,,,,,,,,,,,,,10,26,100,28,75,334,0,1,7,18,41,152,83,142,564,58,108,451,8,23,67,1600.0,7.0,57.5,1400.0,2.8,58.0,1550.0,4.4,57.0,1600.0,1.3,59.0,MAT ,BM-72,PUK ,BM-72,AWAP,BM-75,PUK ,BM-70,TAVISTOCK (NZ),HIDDEN PASSION,DESERT PRINCE (IRE),CAMBRIDGE,,,8NZ,8NZ,6NZ,3NZ,,07/06/18,15,23/05/18,14,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,10.0,68.5,68.0,58.5,58.5,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,3,'6331,1.0,3.0,3.0,6.0,PRODIGAL SON,,59.5,,,,62,5,14,8.0,23.0,,,,1410,19,3,6,12,3,5,26,2,2,5,0,0,0,1,7,34,1,1,11,3,6,17,4,4,4,2,4,6,,,TEAM ROGERSON,6,G,R. T. Elliot,a0.0,G2,O3,0.65,0.85,1.02,A,C,5.0,0.0,1.0,6.0,0.0,2.0,6.0,0.0,4.0,6.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,2.0,3.0,4.0,4.0,33.0,0.0,1.0,3.0,21/07/2018,26.5,26.5,15/03/2017,29.5,31.0,08/01/2016,29.0,37.0,34.5,22/04/19,31.0,21/09/18,38.5,29/07/17,38.5,29/07/17,38.5,29/07/17,1400 (3) 1560 2100,2.0,3.0,7.0,2.0,7.0,47.0,34.5,34.5,22/04/2019,1.0,27.5,27.5,20/03/2019,3.0,28.5,28.5,21/02/2019,3.0,24.0,24.0,17/02/2019,6.0,19.0,19.0,03/11/2018,10.0,28.5,28.5,20/10/2018,2.0,29.0,29.0,13/10/2018,4.0,27.5,27.5,29/09/2018,4.0,34.5,35.0,01/07/2017,35.0,36.0,21/05/2017,34.0,35.0,12/04/2017,29.5,36.5,01/02/2016,,,,,,,28,54,230,59,128,644,2,1,19,26,63,252,31,74,241,59,152,750,24,57,219,1400.0,0.8,57.0,1560.0,2.1,53.5,1400.0,0.8,53.0,1200.0,4.0,53.5,ARP ,BM-82,ARP ,BM-65,WAIR,BM-65,MAK ,BM-65,DUELLED,MAYBE YES,LAST TYCOON (IRE),TUHIKARAMEA,38.5,29/07/17,3NZ,2NZ,2NZ,8NZ,Scratched,22/04/19,33,01/07/17,13,21/05/17,29,12/04/17,12,01/02/16,12,,,0.0,1.0,5.0,1.0,5.0,14.0,2.0,4.0,22.0,2.0,4.0,21.0,57.5,53.0,56.0,56.0,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,4,'5401,1.0,0.0,4.0,5.0,CHE GUEVARA,,59.0,,,,5,1,0,20.0,0.0,,,,1500,16,0,0,0,1,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,11,11,13,7,11,11,,,R R MANNING,4,G,,,G2,O4,0.65,0.85,1.02,A,A,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,33.5,25/04/19,,,,,33.5,25/04/19,,,1400,0.0,0.0,0.0,0.0,0.0,0.0,33.5,33.5,25/04/2019,1.0,17.0,17.0,14/04/2019,10.0,28.5,29.0,24/02/2019,4.0,24.5,25.0,21/02/2019,5.0,31.0,31.5,17/02/2019,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,10,11,79,36,62,337,21,37,244,0,0,0,1400.0,0.8,58.5,1600.0,11.1,58.5,1400.0,2.8,58.5,1400.0,5.6,58.5,AWAP,3Y+MSW,TE R,3Y+MSW,WAIR,3Y+MDN,WAIR,3Y+MDN,NADEEM,NIKKI'S BRIDE (NZ),O'REILLY (NZ),CAMBRIDGE,,,8NZ,6NZ,5NZ,1NZ,Scratched,25/04/19,11,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,57.5,,,,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,5,'729x,9.0,2.0,7.0,,DR HANK,11.0,59.0,21.0,75.0,77.0,15,2,3,13.0,20.0,eq,- 3.0,dn,1353,308,0,1,1,0,1,4,0,0,0,0,0,0,0,1,3,1,1,6,1,1,6,12,12,8,0,15,15,,,P G HOLLINSHEAD,5,G,T. N. Harris,,G4,O6,1.83,na,0.85,A,na,1.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,18/04/2018,30.5,31.5,08/09/2017,14.0,17.5,15/05/2017,24.5,30.0,,,34.5,19/05/18,40.0,08/11/17,34.0,20/09/17,40.0,08/11/17,1580 2000,0.0,1.0,1.0,1.0,1.0,9.0,26.0,26.5,07/07/2018,9.0,32.0,32.5,17/06/2018,2.0,29.5,30.0,02/06/2018,7.0,33.5,34.5,19/05/2018,4.0,30.0,31.0,05/05/2018,7.0,30.5,31.5,18/04/2018,5.0,23.0,25.5,15/12/2017,8.0,37.0,40.0,08/11/2017,1.0,32.0,35.0,08/10/2017,,,,,,,,,,,,,,,,12,13,90,23,41,201,2,2,5,0,0,3,2,4,17,0,1,4,0,0,1,2100.0,7.5,59.5,2000.0,3.5,59.5,2040.0,5.6,60.0,1600.0,3.1,60.0,TE R,BM-65,TAW ,BM-65,WNU ,BM-65,TE R,BM-65,REDWOOD (GB),BELLAFORTE (NZ),GENEROUS (IRE),TE AWAMUTU,28.5,21/10/17,3NZ,1NZ,3NZ,9NZ,,08/11/17,18,08/10/17,18,,,,,,,,,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,6.0,56.0,58.5,56.0,59.0,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,6,' 221,1.0,2.0,2.0,,HELENA BABY,10.0,59.0,3.5,100.0,100.0,3,1,2,33.0,67.0,up,+ 1.0,eq,3417,19,1,0,1,1,0,1,1,0,1,0,0,0,0,2,2,0,0,0,1,0,1,1,2,12,6,10,3,2.0,8.0,J W BELL,4,G,D. A. Mansour,,G2,O2,0.65,0.85,1.02,A,C,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,34.5,22/04/19,,,,,34.5,22/04/19,34.5,22/04/19,1400,0.0,0.0,0.0,0.0,0.0,0.0,34.5,34.5,22/04/2019,1.0,33.5,34.0,27/03/2019,2.0,32.0,32.5,13/03/2019,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,56,16,32,140,1,2,3,8,8,38,19,38,152,14,21,95,1,3,7,1400.0,6.0,58.5,1200.0,0.5,58.5,1200.0,1.8,58.5,,,,ARP ,3Y+MSW,MAT ,3Y+MDN,MAT ,3Y+MDN,,,GUILLOTINE (NZ),HOT STASH,SECRET SAVINGS (USA),CAMBRIDGE,34.5,22/04/19,1NZ,1NZ,3NZ,,,22/04/19,26,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,7,'03x4,4.0,3.0,0.0,,BOJANGLES,,58.5,,,,15,2,2,13.0,13.0,,,,1200,19,0,0,1,2,2,8,0,0,1,0,0,0,0,1,4,1,1,7,1,0,4,7,8,14,11,5,13,,,J W RICHARDS,5,G,,,S8,M6,1.05,0.95,1.02,A,A,2.0,2.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,23/05/2018,31.0,32.0,18/11/2017,22.0,24.5,08/03/2017,30.0,36.0,28.0,22/04/19,37.0,25/04/18,36.5,28/10/17,37.0,25/04/18,37.0,25/04/18,1300 1400,0.0,0.0,0.0,1.0,2.0,14.0,28.0,28.0,22/04/2019,4.0,31.0,31.0,19/09/2018,3.0,10.0,10.0,04/08/2018,13.0,33.5,34.0,07/07/2018,4.0,26.5,27.0,09/06/2018,7.0,31.0,32.0,23/05/2018,4.0,36.0,37.0,25/04/2018,1.0,22.0,24.5,18/11/2017,13.0,31.0,41.0,05/10/2016,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,30,35,143,30,33,137,93,133,477,0,0,0,1400.0,6.6,58.5,1400.0,3.9,58.5,2100.0,26.0,59.0,2100.0,2.8,59.0,ARP ,BM-82,TAW ,BM-65,TE R,BM-65,TE R,BM-65,ROC DE CAMBES (NZ),STEVER HOUSE (USA),EL GRAN SENOR (USA),MATAMATA,28.0,22/04/19,2NZ,3NZ,1NZ,4NZ,Scratched,25/04/18,158,05/10/16,frs,,,,,,,,,1.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,8.0,0.0,0.0,1.0,56.5,59.5,57.5,58.5,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,8,'2x38,8.0,3.0,2.0,,WHITE SHIELD,,58.5,,,,7,1,3,14.0,43.0,,,,2143,42,1,0,2,0,3,5,0,0,1,0,0,0,0,3,5,1,0,1,0,0,1,6,7,3,4,1,4,,,S F RITCHIE,4,G,S. T. Collett,,G2,F1,1.31,1.19,0.85,A,A,3.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29/12/2018,37.5,39.0,,,,,,,37.5,16/03/19,39.0,29/12/18,38.0,13/04/18,39.0,29/12/18,38.0,13/04/18,1230,0.0,0.0,0.0,0.0,3.0,6.0,34.0,34.5,30/03/2019,8.0,37.0,37.5,16/03/2019,3.0,37.5,39.0,29/12/2018,2.0,16.5,18.0,13/12/2018,11.0,36.5,38.5,07/11/2018,2.0,11.0,15.5,12/05/2018,8.0,33.0,38.0,13/04/2018,1.0,,,,,,,,,,,,,,,,,,,,,,,26,71,302,106,216,1036,0,2,6,14,17,76,52,67,324,25,51,230,1,7,21,1600.0,2.8,59.0,1400.0,0.5,59.0,1400.0,0.1,58.5,1400.0,15.0,60.0,AWAP,BM-65,TAUR,BM-65,MAT ,BM-65,ELLS,BM-65,RELIABLE MAN (GB),PRINCESS ZANZIBAR,ROYAL ACADEMY (USA),CAMBRIDGE,38.0,13/04/18,4NZ,2NZ,5NZ,4NZ,Scratched,13/04/18,frs,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,58.5,57.5,58.0,,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,9,'1856,6.0,5.0,8.0,1.0,LAURAMIA,5.0,58.0,41.0,67.0,66.0,18,2,1,11.0,6.0,dn,-10.5,eq,993,19,0,0,5,0,0,7,0,0,2,0,0,0,2,1,15,0,0,2,0,0,1,15,15,6,12,18,19,,,W K POMARE,5,M,C. W. Johnson,,G2,O2,1.04,1.11,1.46,na,A,10.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,34.0,28/01/19,33.0,17/01/18,,,27.5,15/12/18,26.0,13/04/18,1600 (2),0.0,0.0,0.0,1.0,0.0,7.0,21.0,21.0,22/04/2019,6.0,25.0,25.0,23/03/2019,5.0,21.0,21.0,06/02/2019,8.0,34.0,34.0,28/01/2019,1.0,17.5,17.5,18/01/2019,12.0,27.5,27.5,15/12/2018,5.0,29.0,29.0,17/11/2018,1.0,28.5,28.5,03/11/2018,4.0,,,,,,,,,,,,,,,,,,,27,59,237,75,185,783,0,0,0,6,4,28,10,12,85,7,5,39,0,0,0,1400.0,11.0,51.0,1600.0,8.1,53.5,1600.0,11.0,54.0,1600.0,0.2,55.0,ARP ,BM-82,TAUR,BM-72,TAUR,BM-72,TET ,BM-65,GUILLOTINE (NZ),SHINKO BAY (NZ),SHINKO KING (IRE),ROTORUA,33.0,17/01/18,7NZ,5NZ,5NZ,7NZ,,28/01/19,10,17/11/18,14,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,11.0,56.5,52.5,52.5,56.5,
A PARK,8,ROTORUA CLUB (BM65) (SKY2),1400,"22,500",BM-65,Claim,02.14 pm,11/05/2019,10,'32x1,1.0,2.0,3.0,,RAGE IN THE CASTLE,,57.0,,,,4,1,2,25.0,50.0,,,,2313,24,0,0,0,0,2,2,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,3,1,16,9,13,2,,,M H BROOKS,4,M,S. M. Mc Kay,,G3,O3,na,na,0.88,na,A,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10/10/2018,30.0,32.0,,,,,,,34.5,17/04/19,36.5,26/10/18,,,36.5,26/10/18,,,1200,0.0,0.0,0.0,0.0,0.0,0.0,34.5,34.5,17/04/2019,1.0,34.5,36.5,26/10/2018,2.0,30.0,32.0,10/10/2018,3.0,27.0,29.5,21/09/2018,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,39,236,34,80,578,0,0,0,2,2,16,16,22,109,5,8,49,0,0,0,1200.0,0.1,56.5,1400.0,1.0,56.5,1300.0,4.6,57.5,1200.0,5.0,56.5,MAT ,3Y+MDN,PUK ,3Y+MSW,TAUP,FM-MDN,TAUP,3Y+MSW,CASTLEDALE (IRE),OUTRAGING (NZ),FIESTA STAR,CAMBRIDGE,,,1NZ,4NZ,7NZ,10NZ,Scratched,17/04/19,173,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,,,,,
