Distance,Last Finish pos,Last-1 Finish pos,Weight,Wins,Places,win%,Place%,Course Wins,Course Places,Course Starts,Distance Wins,Distance Places,Good Wins,Good Places,Good Starts,age,1Up Wins,1Up Places,1Up Starts,2Up Wins,2Up Places,2Up Starts,3Up Wins,3Up Places,3Up Starts,4Up Wins,4Up Places,4Up Starts,Last Base Rating,Last Finish Pos,Last-1 Base Rating,Last-1 WFA Rating,Last-1 Finish Pos,Last-2 Base Rating,Last-2 WFA Rating,Last-2 Finish Pos,Last-3 Base Rating,Last-3 WFA Rating,Last-3 Finish Pos,Last-4 Base Rating,Last-4 WFA Rating,Last-4 Finish Pos,Joc Ovrl12m Wins,Joc Ovrl12m Places,Joc Ovrl12m Starts,Trn Loc12m Wins,Trn Loc12m Places,Trn Loc12m Starts,Trn Loc5y Wins,Trn Loc5y Places,Trn Loc5y Starts,Trn Ovrl12m Wins,Trn Ovrl12m Places,Trn Ovrl12m Starts,Joc/Trn Wins,Joc/Trn Starts,Last Dist,Last Margin,Last Weight,Last-1 Dist,Last-1 Margin,Last-1 Weight,Last-2 Dist,Last-2 Margin,Last-2 Weight,Last-3 Dist,Last-3 Margin,Last-3 Weight
2200,5.0,5.0,56.0,1,2,7.0,13.0,0,0,0,0,0,1,2,12,4,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,21.5,5.0,34.0,34.5,5.0,22.5,23.0,6.0,29.5,30.5,5.0,28.5,30.5,1.0,73,130,588,11,21,93,21,39,173,28,62,268,6,32,2200.0,7.3,52.5,1600.0,2.4,58.0,1500.0,9.2,56.5,1400.0,2.1,52.5
2200,0.0,4.0,55.5,1,2,5.0,10.0,0,0,0,0,0,1,0,14,5,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,27.0,10.0,30.0,30.0,4.0,28.0,28.0,9.0,30.0,30.0,8.0,22.5,22.5,6.0,10,22,137,0,0,7,1,1,11,0,1,15,0,0,1600.0,6.8,56.5,2100.0,3.0,53.0,1600.0,5.4,55.5,1600.0,3.9,55.5
2200,8.0,7.0,55.0,1,2,3.0,5.0,0,0,0,1,1,1,1,17,7,0.0,0.0,8.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,1.0,5.0,14.5,8.0,11.5,11.5,7.0,22.5,22.5,9.0,10.0,10.0,10.0,12.0,12.0,12.0,14,20,170,0,0,7,0,1,19,2,0,30,0,0,2100.0,14.0,55.0,2400.0,39.6,55.0,2100.0,10.0,55.5,1500.0,16.0,53.0
1560,4.0,8.0,61.0,6,6,22.0,22.0,0,0,0,3,2,2,3,16,5,1.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,40.5,4.0,30.0,30.0,8.0,43.5,43.5,1.0,37.5,37.5,12.0,34.5,35.5,6.0,14,37,210,17,36,167,91,175,760,52,127,549,14,89,1400.0,2.1,62.0,1600.0,9.8,58.5,1600.0,0.5,59.0,1600.0,4.1,62.0
1560,0.0,0.0,60.0,6,6,17.0,17.0,0,0,0,2,1,5,5,31,8,1.0,2.0,7.0,0.0,1.0,6.0,2.0,1.0,5.0,1.0,1.0,4.0,22.5,13.0,37.5,37.5,11.0,41.0,41.0,1.0,37.0,37.0,8.0,11.0,11.0,9.0,31,67,429,11,14,94,31,56,266,31,52,313,4,17,2400.0,18.0,52.0,2400.0,7.9,53.5,2200.0,1.8,55.5,1550.0,4.9,59.0
1560,2.0,6.0,59.5,8,14,15.0,27.0,1,0,1,7,7,8,9,37,7,0.0,1.0,5.0,1.0,3.0,5.0,0.0,1.0,5.0,1.0,0.0,4.0,44.5,2.0,38.0,38.0,6.0,42.0,42.0,4.0,39.0,39.0,9.0,40.0,40.0,5.0,10,22,137,2,2,25,21,37,173,9,8,68,3,19,1600.0,1.3,59.0,1600.0,5.2,60.0,1500.0,2.6,60.0,2200.0,5.4,53.0
1560,3.0,6.0,59.0,9,19,15.0,32.0,0,3,8,4,8,4,13,34,6,1.0,2.0,5.0,0.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,30.5,3.0,44.0,44.0,6.0,44.0,44.0,1.0,40.0,40.0,5.0,44.0,44.0,2.0,59,128,644,26,63,252,31,74,241,59,152,750,24,219,1400.0,10.1,59.0,2000.0,2.5,57.0,1300.0,0.5,58.5,1400.0,4.8,54.0
1560,0.0,3.0,56.5,3,6,20.0,40.0,0,1,1,3,4,0,4,7,4,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,32.0,10.0,44.5,46.5,3.0,50.0,52.0,3.0,36.5,39.0,5.0,41.5,44.0,1.0,52,95,417,51,95,349,166,229,883,132,214,833,23,128,1600.0,10.3,57.0,2200.0,0.6,56.5,2000.0,0.3,53.0,1600.0,4.2,54.0
1560,3.0,1.0,56.5,7,7,17.0,17.0,0,0,1,6,6,7,4,30,6,0.0,1.0,5.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,0.0,4.0,41.0,3.0,45.0,45.0,1.0,43.0,43.0,3.0,41.5,41.5,1.0,38.0,38.0,8.0,50,98,582,6,15,75,37,57,318,25,58,312,10,116,1600.0,2.2,56.5,1600.0,0.2,59.0,1600.0,0.5,59.0,1600.0,0.8,60.0
1560,8.0,1.0,56.5,6,3,19.0,9.0,0,0,0,5,1,4,1,26,6,1.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,35.0,8.0,42.5,42.5,1.0,40.5,40.5,1.0,35.5,35.5,9.0,40.5,40.5,7.0,32,91,465,1,2,10,7,12,81,3,3,28,0,6,1600.0,5.4,54.0,2100.0,0.4,56.5,1600.0,0.5,54.5,1600.0,5.6,58.0
1560,3.0,8.0,56.5,4,3,24.0,18.0,0,0,0,4,3,0,1,6,4,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,41.5,3.0,35.5,36.0,8.0,45.0,45.5,7.0,35.5,36.5,6.0,40.0,41.0,5.0,14,20,170,2,2,12,3,16,67,8,8,54,8,21,1600.0,2.8,56.5,3200.0,15.1,55.0,2000.0,3.9,53.0,2100.0,8.9,57.5
1560,2.0,6.0,56.0,3,6,19.0,38.0,1,1,3,0,0,2,4,13,4,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,35.0,2.0,40.5,40.5,6.0,46.0,47.0,2.0,45.5,46.5,2.0,41.5,43.0,5.0,17,41,367,2,2,9,5,3,29,2,7,19,2,19,1400.0,6.8,55.5,1200.0,4.5,56.0,1400.0,1.3,56.5,1400.0,0.1,54.5
